run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_002_baseline_vs_weak_ai,2,12,weak_ai,baseline,1946,1946,Showdown,True,"{""baseline"": 973, ""weak_ai"": -973}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,13,baseline,baseline,440,440,Showdown,True,"{""baseline"": 220, ""weak_ai"": -220}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,14,weak_ai,baseline,400,400,Showdown,True,"{""baseline"": 200, ""weak_ai"": -200}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,15,baseline,weak_ai,390,390,Showdown,True,"{""baseline"": -195, ""weak_ai"": 195}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,16,weak_ai,weak_ai,2000,2000,Showdown,True,"{""baseline"": -1000, ""weak_ai"": 1000}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,17,baseline,weak_ai,390,390,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,18,weak_ai,baseline,1670,1670,Showdown,True,"{""baseline"": 835, ""weak_ai"": -835}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,19,baseline,baseline,1480,1480,Showdown,True,"{""baseline"": 740, ""weak_ai"": -740}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,20,weak_ai,baseline,1900,1900,Showdown,True,"{""baseline"": 950, ""weak_ai"": -950}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,21,baseline,weak_ai,774,774,Showdown,True,"{""baseline"": -387, ""weak_ai"": 387}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,22,weak_ai,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,23,baseline,weak_ai,390,390,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,24,weak_ai,weak_ai,774,774,Showdown,True,"{""baseline"": -387, ""weak_ai"": 387}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,25,baseline,weak_ai,480,480,Showdown,True,"{""baseline"": -240, ""weak_ai"": 240}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,26,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,27,baseline,baseline,1980,1980,Showdown,True,"{""baseline"": 990, ""weak_ai"": -990}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,28,weak_ai,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,29,baseline,weak_ai,1980,1980,Showdown,True,"{""baseline"": -990, ""weak_ai"": 990}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,30,weak_ai,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
